gene_id,A10_Ta18fBr_a,A11_Ta18fBr_b,A12_Ta18fBr_c,B10_CY07fBr_a,B11_CY07fBr_b,B12_CY07fBr_c,D10_Ta18mBr_a,D11_Ta18mBr_b,D12_Ta18mBr_c,E10_CY07mBr_a,E11_CY07mBr_b,E12_CY07mBr_c
FBgn0238418,1939,1503,1357,1738,1339,7372,1931,1845,1967,1893,1550,1407
FBgn0238419,6555,5560,5094,6306,5402,30899,6771,6836,7842,7383,6251,5899
FBgn0234369,1731,1803,1482,2005,1981,11647,2115,2245,2738,2049,2125,2297
FBgn0237342,1674,1233,1370,1303,831,4753,1587,1490,1477,1426,1118,789
FBgn0258343,1,0,0,0,2,0,0,2,0,0,0,0
FBgn0229629,6232,6483,5068,6571,6834,34691,6231,7031,8089,4924,6638,6883
FBgn0237344,0,0,0,0,0,0,0,2,0,3,0,0
FBgn0275619,0,0,0,0,0,8,0,0,2,0,3,0
FBgn0275618,0,0,5,7,8,46,0,0,0,7,0,5
FBgn0237434,5752,6743,5837,7660,6968,31502,6003,7164,7942,6231,6606,5695
FBgn0275611,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0275610,4211,4011,3922,4556,3986,20816,3728,4234,4720,3851,3497,3122
FBgn0275613,3424,2928,2703,3451,3073,15886,3844,3992,4078,3506,3335,3004
FBgn0236169,732,560,492,540,481,2416,828,624,718,679,468,440
FBgn0275615,1,0,0,0,0,2,1,1,1,0,0,0
FBgn0275614,9,7,4,14,9,51,2,10,9,7,9,11
FBgn0275617,22,15,5,16,20,79,16,15,13,19,10,10
FBgn0275616,311,260,260,1429,982,5371,299,289,332,1715,1132,934
FBgn0235761,16,5,13,2,2,29,32,10,25,24,8,13
FBgn0235760,119,62,119,131,69,243,397,134,166,506,99,130
FBgn0235763,864,871,678,1043,955,4787,823,1058,849,1032,895,758
FBgn0235762,100,35,35,43,32,96,200,83,95,134,32,30
FBgn0235765,442,285,284,237,176,912,209,149,241,198,131,159
FBgn0235764,717,683,605,519,544,2811,728,868,836,579,577,414
FBgn0235767,15302,15589,13038,18503,18181,93076,18639,21153,21689,15726,18533,19098
FBgn0242305,1758,1432,1243,1382,1239,6391,1727,1640,1790,1576,1166,1153
FBgn0242304,67,63,52,70,70,335,90,98,83,60,51,57
FBgn0242306,1104,1033,878,958,735,4331,1191,1115,1155,1085,760,818
FBgn0242301,35,32,30,29,36,137,56,27,40,36,29,20
FBgn0242303,40,41,26,57,44,237,49,42,82,59,48,38
FBgn0242302,389,227,291,372,298,1786,342,288,269,509,273,309
FBgn0241960,6,16,15,0,0,30,8,19,18,8,8,8
FBgn0241961,14,0,0,8,0,36,11,0,0,20,4,0
FBgn0241962,504,446,354,449,401,2052,523,482,532,564,436,397
FBgn0241963,2303,1858,1666,2247,1765,9496,2359,2467,2362,2456,2061,1715
FBgn0241964,590,531,475,495,543,3146,464,547,607,445,579,458
FBgn0241965,3767,3339,2902,4249,3901,19286,4106,4198,4487,3661,3893,3987
FBgn0241966,1569,1481,1194,1498,1261,7180,1479,1499,1698,1601,1296,1281
FBgn0241968,0,0,0,0,0,6,0,2,0,0,0,0
FBgn0233704,2902,2441,2441,2600,2126,11316,3581,3282,3482,3807,2770,2536
FBgn0233707,1889,1536,1564,1286,1047,6431,2131,2066,2397,1833,1444,1291
FBgn0242048,11,14,13,6,4,26,22,23,25,7,5,7
FBgn0242049,337,247,201,226,224,1317,383,310,341,251,252,161
FBgn0242042,785,817,651,807,690,3856,808,770,851,936,752,697
FBgn0242040,7132,7642,5977,11174,10532,58650,8641,8956,11420,7514,10691,11358
FBgn0242041,4019,4377,3950,4078,3722,18338,4238,5144,5917,2893,3655,3444
FBgn0242046,18823,18619,15505,15507,15511,81238,15924,18614,22357,16602,15672,14287
FBgn0242047,1329,1010,931,1141,913,5344,1239,1266,1327,1010,962,969
FBgn0242045,4,6,0,6,6,30,2,6,8,0,8,0
FBgn0239101,36,34,33,20,12,106,78,67,50,11,10,21
FBgn0237949,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0237948,0,0,0,0,0,4,0,8,2,0,0,0
FBgn0233703,5288,4945,4186,4849,4397,22544,4856,5049,5197,4931,4305,3859
FBgn0239100,7,0,3,8,5,39,3,4,4,4,0,4
FBgn0237943,0,4,2,7,9,34,6,6,4,7,4,11
FBgn0237942,35,38,19,49,38,229,39,43,78,38,43,29
FBgn0237941,0,4,5,14,6,28,8,16,5,6,9,8
FBgn0237940,0,2,0,2,0,22,0,2,2,2,2,5
FBgn0237947,3198,3206,3023,2966,2809,14819,3600,3995,4320,2483,3169,2563
FBgn0237946,12429,13029,11319,13247,13639,70892,15017,15373,18018,11527,13600,13541
FBgn0237945,5806,6079,5012,6480,6747,36640,6676,7586,8829,5479,7704,7290
FBgn0237944,194,174,236,182,162,721,178,180,287,204,182,125
FBgn0276481,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0276480,741,520,480,464,373,2093,704,720,740,476,499,422
FBgn0234034,1775,1555,1438,1488,1449,7675,1676,1815,2173,1739,1455,1450
FBgn0239104,0,4,0,7,0,15,3,4,2,2,2,0
FBgn0234035,18510,18958,14772,20954,22330,120245,18762,21072,23382,14450,20122,21573
FBgn0238789,283,173,260,376,418,2185,354,356,391,225,333,368
FBgn0276485,73,126,65,88,144,691,114,198,165,150,184,163
FBgn0275537,3475,2929,3326,3444,2754,15462,3075,3233,3385,3496,2734,2338
FBgn0234033,76,64,51,22,23,97,118,71,125,26,27,30
FBgn0229579,2,2,5,0,0,6,0,0,0,0,0,0
FBgn0229578,1375,1120,1037,1172,1035,5244,1356,1432,1470,1468,1173,952
FBgn0276487,45,17,16,13,14,55,49,29,28,17,33,13
FBgn0276220,637,490,305,725,689,4263,518,591,640,677,808,757
FBgn0229571,605,422,390,513,363,2159,497,454,583,622,455,421
FBgn0229575,1810,1376,1774,1056,854,4087,1444,1669,1956,1029,1050,1011
FBgn0229574,73,64,70,21,14,99,55,66,65,7,14,19
FBgn0229577,2507,1913,1741,2091,1361,7455,2574,2429,2651,1826,1592,1468
FBgn0228169,40,36,54,41,46,263,32,48,42,30,46,46
FBgn0228168,19,20,6,10,13,68,23,12,9,22,11,12
FBgn0276222,43,39,37,27,17,113,49,49,51,32,29,27
FBgn0228161,1933,1555,1554,1887,1335,8078,2054,2068,2190,2173,1748,1549
FBgn0228160,12,19,17,23,15,44,18,10,9,23,19,20
FBgn0228163,1334,1008,932,1420,1366,7440,1244,1201,1302,1386,1296,1295
FBgn0228162,20,20,33,93,69,454,53,50,48,86,104,72
FBgn0228165,95,99,66,127,82,539,70,80,116,97,113,96
FBgn0228164,30638,48155,34582,44253,48681,245013,36957,50838,57892,32521,41260,40990
FBgn0228167,232,159,151,585,394,2188,224,206,220,417,324,356
FBgn0235117,324,204,220,204,179,902,364,234,280,188,153,136
FBgn0234142,2,6,1,8,0,13,9,3,1,7,2,0
FBgn0234143,9,7,8,10,6,59,6,6,2,10,3,14
FBgn0234140,134,143,107,112,93,706,175,193,153,153,113,149
FBgn0234141,6,0,0,2,2,14,4,0,3,4,0,2
FBgn0234146,1060,795,830,1084,840,4326,1191,1007,1106,1194,888,853
FBgn0234415,1191,1004,1023,1042,901,5274,1325,1277,1424,1274,1132,1102
FBgn0234144,36,30,30,20,22,103,19,51,42,19,19,7
FBgn0234145,705,591,558,717,514,3031,689,664,682,907,613,518
FBgn0234418,2938,2308,2149,2542,2269,12575,3016,3065,3267,3285,2873,2637
FBgn0234419,17,11,6,6,8,87,19,16,9,21,4,16
FBgn0234148,8952,8739,7564,8424,7769,39974,8244,9369,9852,8080,7594,7233
FBgn0234149,137,125,100,115,115,532,185,202,169,164,158,117
FBgn0228564,839,787,711,1015,896,4423,847,818,1039,1110,912,830
FBgn0258617,0,0,0,0,0,1,0,0,0,0,0,0
FBgn0229416,25,15,20,30,22,109,12,0,20,3,4,2
FBgn0229417,8,12,6,0,4,7,0,2,2,0,2,0
FBgn0232819,65,47,40,60,34,171,26,12,37,46,15,37
FBgn0229412,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0229413,80,127,105,104,123,675,105,117,119,158,88,86
FBgn0229410,812,755,719,523,500,2754,896,773,978,611,466,555
FBgn0229411,1683,1407,1537,1955,1316,7401,1826,1613,2039,2327,1517,1300
FBgn0232813,767,513,613,634,535,2641,593,622,688,723,638,466
FBgn0232811,2030,2178,1802,1933,2091,10647,1981,2332,2769,1563,1850,1827
FBgn0238279,967,688,679,498,481,2493,984,898,1065,707,499,428
FBgn0229418,464,361,399,401,351,1652,355,375,409,376,336,242
FBgn0232815,5535,5178,4376,5268,5273,28798,5481,5950,6520,5253,5711,5916
FBgn0239548,165,149,156,142,91,590,158,202,166,128,112,110
FBgn0068068,20415,15219,16056,23421,17144,86036,24056,21872,22795,30998,19694,16509
FBgn0068069,14558,11123,12156,16218,11554,59543,17611,15365,16777,22582,14595,11827
FBgn0068062,24024,18721,19398,22841,15265,87156,24611,21159,23163,28617,18976,15840
FBgn0068063,43427,35608,34512,45687,34422,173755,49100,41560,46594,54219,37936,34501
FBgn0068060,10883,9178,9507,10135,6934,41056,12037,10944,11973,12844,8133,7685
FBgn0068061,23012,16934,18554,23041,15554,87463,23443,19897,21491,26213,17007,15735
FBgn0068066,27888,21771,21460,28445,20960,112074,29724,25345,27571,34037,22940,19943
FBgn0068064,26463,19725,21055,30929,21397,111923,29527,25687,28072,38530,25219,21302
FBgn0068065,34328,27168,26943,34409,24863,138515,37834,33465,35396,41886,29171,25904
FBgn0234474,4319,3944,3636,4578,4179,21208,4329,4236,4985,4613,4168,3906
FBgn0275502,0,0,0,0,2,0,0,0,0,2,0,0
FBgn0082692,8,7,0,5,6,32,6,6,7,0,8,5
FBgn0235210,698,713,561,820,858,4827,729,867,1006,622,811,915
FBgn0068398,57,41,65,129,45,266,63,38,36,53,32,37
FBgn0068399,2040,1842,1548,1689,1603,7476,2060,2037,2151,1815,1618,1624
FBgn0068394,43,50,20,34,21,89,36,113,26,40,28,15
FBgn0068395,17573,15420,13964,15095,14387,76104,19505,18897,21058,15859,15186,14855
FBgn0068396,2210,2737,2511,2770,2578,13993,2701,3396,3834,2566,2803,2578
FBgn0068397,6373,5199,5431,5644,4753,24847,6380,5538,6421,6533,5162,4322
FBgn0068390,216,161,99,130,64,312,84,36,87,63,52,44
FBgn0068392,1596,1276,1313,1730,1257,7222,1807,1559,1787,2054,1347,1276
FBgn0068393,7,5,3,7,6,24,4,0,2,4,3,6
FBgn0240423,4684,4596,5396,8797,6780,36730,4815,6484,5841,8122,7574,6564
FBgn0238130,1504,1168,1215,1100,963,5238,1370,1356,1491,1216,1011,965
FBgn0236159,6284,5558,5625,4380,5454,27363,5789,6672,7881,4563,5713,4587
FBgn0236158,312,236,263,560,488,2170,314,360,391,539,492,367
FBgn0236157,5,3,0,0,3,12,0,0,0,2,0,0
FBgn0236156,0,0,0,0,0,0,0,3,0,0,0,0
FBgn0236155,7472,6266,5604,6761,5686,27023,7635,7247,7781,5815,4896,4196
FBgn0236154,26,23,23,12,6,42,25,31,24,8,8,8
FBgn0236153,1570,1365,1408,1354,992,5797,1904,1747,1930,1450,1333,1144
FBgn0236152,1262,1076,1059,1229,1002,5239,1351,1281,1260,1434,1149,989
FBgn0236151,331,258,244,366,245,1819,302,238,337,399,292,274
