genes,A10_Ta18fBr_a,A11_Ta18fBr_b,A12_Ta18fBr_c,B10_CY07fBr_a,B11_CY07fBr_b,B12_CY07fBr_c,D10_Ta18mBr_a,D11_Ta18mBr_b,D12_Ta18mBr_c,E10_CY07mBr_a,E11_CY07mBr_b,E12_CY07mBr_c
FBgn0239000,1.102618,1.204137,2.410963,0.599009,0.673244,0.720812,0.99943,1.331036,0.908012,0.519497,0.237534,0.456299
FBgn0239001,4.317655,3.197361,4.983859,2.448612,3.203986,2.555585,2.270185,4.01105,3.90726,2.142574,2.475569,2.448032
FBgn0239002,23.276394,24.386253,24.131907,15.335351,13.530214,17.508215,21.407209,26.897732,24.043787,20.111052,18.507504,17.276997
FBgn0239003,47.718307,38.073776,48.454178,53.928932,44.103008,49.837299,37.40892,39.799828,38.543217,48.09029,43.709122,43.357155
FBgn0239004,59.0042,72.886612,64.666115,61.548309,70.332542,65.692368,56.73214,68.265862,69.039009,40.69408,60.118893,68.110336
FBgn0239005,46.593128,43.333149,45.321297,44.059376,40.07188,43.86618,48.737671,43.104603,44.716927,48.237816,41.575657,43.497284
FBgn0239007,2.006871,2.046947,0.783979,0.42058,1.098238,0.784028,1.776758,1.698667,2.054866,0.400094,0.634168,0.783263
FBgn0239009,50.19994,44.816135,48.985256,43.668751,36.850193,43.256622,45.978756,44.571758,44.912964,48.799103,42.893085,42.756008
FBgn0239010,128.92627,187.951874,152.631775,193.381348,226.664871,213.762115,150.589905,177.560104,186.959412,130.514633,190.383972,212.843857
FBgn0239011,17.549831,15.083409,16.632748,10.81377,9.404422,10.557718,16.85708,17.133131,15.355116,11.755154,10.680616,11.947661
FBgn0239012,90.637985,68.565224,80.5438,73.113426,71.360199,72.756516,83.217941,73.009415,73.586342,87.910637,76.945183,65.636833
FBgn0239013,0,0,0,0,0,0.025182,0,0.298173,0,0,0,0
FBgn0239014,0.562298,0.47785,0.815756,0.351122,0.525545,0.268829,0.264342,0.360828,0.411449,0.136439,0.285218,0.446369
FBgn0239015,1.537793,0.851877,2.09928,2.98893,2.521119,2.929883,0.838288,0.893616,0.974064,4.166815,1.949332,3.109304
FBgn0239017,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0239019,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0239020,34.043102,31.103209,30.976065,30.080641,25.37303,30.092028,37.681053,36.25428,33.074795,32.98143,28.607176,32.031528
FBgn0239021,0,0,0,0,0,0,0,0,0,0,0,0.049628
FBgn0239022,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0239023,0,0,0,0,0,0.033715,0,0,0,0,0.062017,0
