"","gene_id","seqnames","l2fc","qval","sex"
"1007","FBgn0194003","Scf_2L",0.153262519263006,0.00214938768200191,"m"
"1008","FBgn0194005","Scf_2L",0.131575565804447,0.04164796180462,"m"
"1009","FBgn0194009","Scf_2L",-0.147556377537985,0.0362758926435829,"f"
"1010","FBgn0194019","Scf_2L",0.949924455828368,0.000307989582288025,"m"
"1011","FBgn0194052","Scf_2L",-0.251635487237009,0.00271505488598411,"f"
"1012","FBgn0194055","Scf_2L",0.164405761501493,0.0262972618450801,"m"
"1013","FBgn0194059","Scf_2L",0.209412509494596,0.0343995687084614,"m"
"1014","FBgn0194070","Scf_2L",-0.388289429263101,0.000396937567772544,"f"
"1015","FBgn0194071","Scf_2L",0.300247251317385,5.48800253832497e-05,"m"
"1016","FBgn0194077","Scf_2L",0.244673755548485,0.00277083747664596,"m"
"1017","FBgn0194104","Scf_2L",0.205613666426202,0.0175169181745224,"m"
"1018","FBgn0194127","Scf_2L",-0.884022795887474,0.00992446107330394,"f"
"1019","FBgn0194128","Scf_2L",-1.1099854362227,0.00969782376558258,"f"
"1020","FBgn0194145","Scf_2L",0.185613878935486,0.00122480893219654,"m"
"1021","FBgn0194158","Scf_2L",-0.294456449985963,0.0343364352934698,"f"
"1022","FBgn0194169","Scf_2L",0.313991579461649,0.0105320647167121,"m"
"1023","FBgn0194177","Scf_2L",0.138865392812932,0.048614736321138,"m"
"1024","FBgn0194202","Scf_2L",-0.240470983513097,0.00305911527702251,"f"
"1025","FBgn0194204","Scf_2L",0.215375253259551,0.00715105646756738,"m"
"1026","FBgn0194205","Scf_2L",-0.70831148814781,0.0466465121582448,"f"
"1027","FBgn0194214","Scf_2L",0.224468382285766,0.00251806531503394,"m"
"1028","FBgn0194219","Scf_2L",1.60035520700431,5.7607446166615e-05,"m"
"1029","FBgn0194233","Scf_2L",0.34288971185617,0.0465042285178674,"m"
"1030","FBgn0194269","Scf_2L",-0.834435551972613,0.0347175000319224,"f"
"1031","FBgn0194277","Scf_2L",-0.179993585438396,0.00757878301389731,"f"
"1032","FBgn0194295","Scf_2L",0.25078331100704,0.0124211870733795,"m"
"1033","FBgn0194332","Scf_2L",-0.142345504366579,0.00742113490313859,"f"
"1034","FBgn0194337","Scf_2L",0.117407733447856,0.0283010453505431,"m"
"1035","FBgn0194348","Scf_2L",-0.460006421175051,9.50033785364954e-07,"f"
"1036","FBgn0194382","Scf_2L",-0.394778686188727,0.00533464961592349,"f"
"1037","FBgn0194385","Scf_2L",0.553865397990909,2.39618458207018e-08,"m"
"1038","FBgn0194386","Scf_2L",-0.708587100983604,8.52497428588779e-07,"f"
"1039","FBgn0194387","Scf_2L",-0.647028062108641,5.49668589127736e-08,"f"
"1040","FBgn0194389","Scf_2L",-0.248891265238544,0.0414056980874056,"f"
"1041","FBgn0194396","Scf_2L",0.20371213569413,0.0433516808102445,"m"
"1042","FBgn0194403","Scf_2L",-0.881273515164336,2.29803496635928e-06,"f"
"1043","FBgn0194459","Scf_2L",-0.256258704977636,0.00282108600599132,"f"
"1044","FBgn0194501","Scf_2L",0.251238073034062,0.0024999762495539,"m"
"1045","FBgn0194502","Scf_2L",-0.168466400639155,0.00201420144799114,"f"
"1046","FBgn0194517","Scf_2L",0.13508357374538,0.0003671854830814,"m"
"1047","FBgn0194524","Scf_2L",0.235633562945217,0.000396937567772544,"m"
"1048","FBgn0194528","Scf_2L",0.175178681884564,0.00597118519704421,"m"
"1049","FBgn0194545","Scf_2L",0.193778918145359,0.00627460628329164,"m"
"1050","FBgn0194548","Scf_2L",-0.153549294255609,0.0391881248168737,"f"
"1051","FBgn0194566","Scf_2L",-0.196045863068113,0.0109601833632932,"f"
"1052","FBgn0194571","Scf_2L",0.25360340443172,0.00930649991502353,"m"
"1053","FBgn0194623","Scf_2L",0.267771421351783,0.0238972800737633,"m"
"1054","FBgn0194630","Scf_2L",0.55224547998802,0.00147340998425993,"m"
"1055","FBgn0194634","Scf_2L",-0.185784903908403,0.0388480918405222,"f"
"1056","FBgn0194645","Scf_2L",-0.326108182856098,0.0159163357692032,"f"
"1057","FBgn0194691","Scf_2L",-0.228239506977533,0.0473566596527068,"f"
"1058","FBgn0194700","Scf_2L",0.183777907176382,0.00628321389240137,"m"
"1059","FBgn0194715","Scf_2L",0.534526317510385,0.024466006036453,"m"
"1060","FBgn0194750","Scf_2L",-0.370787874879558,0.0343364352934698,"f"
"1061","FBgn0194768","Scf_2L",0.278110035835242,0.000729289021016194,"m"
