genes,A07_w501fBr_a,A08_w501fBr_b,A09_w501fBr_c,B07_FA03fBr_a,B08_FA03fBr_b,B09_FA03fBr_c,D07_w501mBr_a,D08_w501mBr_b,D09_w501mBr_c,E08_FA03mBr_b,E09_FA03mBr_c
FBgn0184135,4.848482,5.021026,5.600221,2.636501,2.79176,2.474462,4.896553,5.426868,5.582425,3.374544,3.16251
FBgn0184136,73.756897,76.263512,74.279335,89.63179,94.342888,97.327057,81.410934,79.671822,81.168106,103.056183,109.233467
FBgn0184137,39.84972,37.327343,38.192738,63.28698,59.69487,56.694416,43.259014,44.525707,47.546452,77.791641,70.879898
FBgn0184138,8.963976,9.344672,9.611384,28.979698,32.194576,35.275173,8.982264,7.661906,7.893386,37.409527,36.038334
FBgn0184139,10.935434,13.236423,14.822607,12.606544,10.425488,11.654877,15.484562,15.147788,15.586746,13.554168,9.743035
FBgn0184141,20.342237,19.613907,19.975117,15.463931,15.930576,15.021219,19.721804,20.739531,22.549772,17.062078,19.815216
FBgn0184142,11.714692,13.140463,11.577428,6.218786,6.187661,5.523548,8.510243,9.199152,8.541945,6.008931,5.915059
FBgn0184143,0,0,0,0,0,0,0,0,0,0,0
FBgn0184144,0,0,0,0,0,0,0,0,0,0,0
FBgn0184145,0.035265,0.07469,0.170064,0.097062,0.06671,0.036908,0.054197,0.071513,0.038952,0.094685,0.039863
FBgn0184146,460.765289,546.257751,493.337555,339.595123,346.498779,328.919128,502.979156,467.697754,542.377625,343.373108,374.560638
FBgn0184147,0,0,0,0,0,0,0,0,0.003266,0,0
FBgn0184148,0.08347,0,0,0,0,0,0,0.447488,0,0,0
FBgn0184149,12.03061,13.389856,12.143404,12.046196,10.068797,12.97229,11.940338,13.090279,13.586976,12.353568,11.351813
FBgn0184150,0.724622,1.439636,1.417988,0,0.356767,0.150453,0.880042,1.177272,1.159336,0.262197,0
FBgn0184151,0.512886,0,0.097143,0,0.083779,0,0.067328,0.158434,0.069815,0,0
FBgn0184152,0,0.116937,0.098607,0.313241,0.076068,0.156651,0.276288,0.051314,0.126902,0,0.105849
FBgn0184153,0.124964,0.369668,0,0.079656,0.157472,0,0.03477,0.04612,0.06598,0.030834,0.180967
FBgn0184154,90.245911,101.448654,102.569061,100.743927,105.732903,97.650162,107.037361,113.092041,115.781891,113.025688,119.311897
FBgn0184155,357.720795,493.399689,428.799042,402.307404,380.491516,561.649048,343.239838,386.871735,310.192383,374.96109,367.118713
FBgn0184159,10.625873,9.483006,11.464616,11.129472,9.92524,7.595932,9.637934,10.405612,11.962904,12.619192,8.780666
FBgn0184160,97.305748,122.742264,121.004845,99.090515,97.088539,116.960365,107.424774,112.114319,106.02623,92.468246,94.333344
FBgn0184161,0,0.195408,0,0.13882,0,0,0.052009,0.245139,0.25766,0,0
FBgn0184162,0,0.309167,0.171714,0.735039,0,0.67624,0.336471,0.822452,1.400413,0.828851,1.319384
FBgn0184163,0.542158,0.75695,0.80133,0.322675,0.582503,0.11189,0.710738,0.468726,0.75379,0.313034,0.60607
FBgn0184164,60.363682,66.590843,68.112793,64.170952,63.564045,65.472733,68.043457,64.144676,69.901276,66.97625,64.475029
FBgn0184166,29.916515,34.980549,34.141968,25.337761,24.969887,27.666018,26.841192,30.026293,33.688053,26.224205,25.135986
FBgn0184167,0.125281,0.79624,0.279776,0,0.242503,0,0.774969,0.327759,0.395427,0.067275,0
FBgn0184168,0.298435,0.029386,0,0.398919,0.280636,0.374459,0.138531,0,0.048204,0.094783,0.169473
FBgn0184169,0.13476,0.193144,0,0,0.047519,0,0,0,0,0,0
FBgn0184170,14.75902,8.782083,21.410854,3.637422,3.961832,1.717656,20.43816,10.671992,10.78538,4.221327,4.491666
FBgn0184171,39.96542,33.530777,33.205776,36.241253,39.956173,35.228626,36.748177,44.1189,37.06213,38.736267,38.009552
FBgn0184172,0.528106,1.361984,0.265444,0.828022,2.598055,0.26318,0.728566,0.859147,1.290657,0.357146,0.694971
FBgn0184173,490.349609,565.429443,583.457275,535.657043,551.062439,625.159729,566.482361,595.279785,590.36731,644.097961,683.782654
FBgn0184174,248.011246,232.527176,232.522614,309.137268,307.766541,274.601959,248.429367,248.832733,241.202499,265.377563,265.762238
FBgn0184175,17.896347,18.708147,18.08186,16.446363,15.729211,16.698729,16.092295,18.143925,17.366625,16.905069,15.615689
FBgn0184176,5.985281,5.920891,5.857005,5.11389,5.118109,3.998332,5.121221,4.764944,5.836888,4.167652,4.463401
